SKU;Price
АМБРОКСОЛ, табл. 30мг №20; 37,45 
АНАЛЬГІН, табл. 500мг №10; 21,08 
АСКОФЕН, табл. №6; 18,83 
АСКОФЕН-ДАРНИЦЯ,таблетки №10; 29,53 
АЦЕТИЛСАЛІЦИЛОВА К/ТА, табл. 500мг №10; 13,11 
АЦЕТИЛСАЛІЦИЛОВА К/ТА, табл. 500мг №20; 35,31 
БІСАКОДИЛ, табл. в/о 5мг №30; 101,65 
БРОМГЕКСИН, табл. 8мг №20; 22,47 
БРОМГЕКСИН, табл. 8мг №50; 49,22 
ВАЛІДОЛ, табл. 60мг №10; 13,48 
ВАЛІДОЛ, табл. 60мг №10(в пачці); 25,68 
ВОДА ДЛЯ ІН-ЦІЙ, р-н по 2 мл №10; 54,91 
ВОДА ДЛЯ ІН-ЦІЙ, р-н по 5 мл №10; 58,85 
ГЕПАРИН, гель 600 ОД/1г туба 30 г; 181,90 
ГІПНОС® табл. 15 мг №10; 46,82 
ГЛІЦИН-ДАРНИЦЯ табл.100мг №60; 68,48 
ДАРСІЛ®, табл. в/о 22,5мг №100; 262,44 
ДАРСІЛ®, табл. в/о 22,5мг №30; 83,31 
ДАРСІЛ®, табл. в/о 22,5мг №50; 134,08 
ДАРФЕН табл.в/о 200мг №14; 85,07 
Дарфен Ультракап капс.м’які 200мг №10; 63,34 
Дарфен Ультракап капс.м’які 400 мг №10; 95,23 
ДАРФЕН, табл.в/о  400мг №14; 116,20 
ДАРФЕН,табл. в/о  400мг №7; 58,10 
ДАРФЕН,табл.в/о 200мг №7; 53,39 
ДАРФЕН® ЕКСПРЕС, стік, сусп. 200мг/10мл; 174,41 
ДАРФЕН® КІДС ФОРТЕ,сусп.оральна 100мл; 165,85 
ДАРФЕН® КІДС, сусп. ор. 100мг/5мл, 100мл; 124,12 
ДАРФЕН® КІДС, сусп. ор. 100мг/5мл, 200мл; 193,99 
Дарфен®Лонг таблетки, 200/500мг, №10; 136,96 
ДАРФЕН-ГЕЛЬ, гель по 100 г; 333,84 
ДАРФЕН-ГЕЛЬ, гель по 15 г; 129,47 
ДАРФЕН-ГЕЛЬ, гель по 50 г; 226,84 
Дваце 100, гранули 100мг/0,5г №20; 133,53 
Дваце 200 Гарячий Напій 200мг/1г №20; 169,88 
Дваце 200, гранули 200мг/1 г №20; 150,23 
ДВАЦЕ 200, таблетки шипучі 200мг №20; 183,31 
Дваце Лонг Гарячий Напій 600мг/3г №6; 154,42 
Дваце ЛОНГ, гранули 600 мг/3 г №10; 173,44 
ДВАЦЕ ЛОНГ, таблетки шипучі 600мг №10; 212,97 
ДИБАЗОЛ, табл. 20мг №10; 44,94 
ДІАЗОЛІН, табл. 100мг №10; 22,47 
ДРОТАВЕРИН, табл. 40мг №20; 53,50 
ДРОТАВЕРИН-ДАРНИЦЯ, табл.40мг №30; 77,04 
ЕРІДЕЗ® табл, що диспергуються 5мг; 138,59 
ЕРІДЕЗ®, сироп, 0,5 мг/мл по 100 мл у фл; 131,48 
ЕРІДЕЗ-ДАРНИЦЯ, табл. в/о по 5мг №10; 72,75 
ІБУПРОФЕН, табл. 200мг №50; 63,96 
ІБУПРОФЕН-Дарниця, табл. 200мг №20; 44,94 
ІМУСТАТ, табл. 100мг №10; 186,72 
КАЛІЮ ЙОДИД-125, табл.0,125г №10 Доб.діє; 124,98 
КАЛЬЦІЮ ГЛЮК-Т, табл. 500мг №10; 18,09 
КАРБОДЕРМ, крем 100мг/г туба 30 г; 172,32 
КЕТОЗОРАЛ®-ДАРНИЦЯ, шамп. 20мг/г по 60г; 168,46 
КОРВАЛОЛ КРАПЛІ оральні 25 мл фл. №1; 27,71 
ЛЕ’ШАФРАН, табл.30 мг №15 Доб.діє; 214,00 
ЛОРАТАДИН, табл. 10мг №10; 28,46 
МЕДИХРОНАЛ®-ДАРНИЦЯ пор. №1; 89,02 
МЕДИХРОНАЛ®-ДАРНИЦЯ пор. №21; 1 754,70 
МЕДИХРОНАЛ®-ДАРНИЦЯ пор. №7; 594,06 
МЕТИЛУРАЦИЛ З МІРАМ., мазь туба 15 г; 100,83 
МЕТИЛУРАЦИЛ З МІРАМ., мазь туба 30г; 163,21 
МЕФЕНАМІНКА табл. в/о по 500мг №10; 78,15 
МЕФЕНАМІНКА табл. в/о по 500мг №20; 107,94 
МЕФЕНАМІНОВА КИСЛОТА, табл. 500мг №20; 103,96 
МІКОНАЗОЛ, крем 20 мг/г  15 г в тубе; 112,14 
МІРАМІСТИН р-н 0,1мг/мл фл50мл; 184,02 
МІРАМІСТИН, мазь 5мг/г туба 15 г; 75,69 
МІРАМІСТИН-ДАРНИЦЯ, мазь 5мг/г туба 30г; 138,00 
НІМЕДАР гель 10мг/г по 30 г туба; 123,59 
ОКСОЛІН-ДАРНИЦЯ мазь з евкаліптом по 10г; 70,62 
ОКСОЛІН-ДАРНИЦЯ мазь з ментолом, 10г №1; 67,41 
ОКСОЛІН-ДАРНИЦЯ мазь по 10 г у тубі № 1; 58,85 
ПАНТЕСТИН, спрей нашкірний, розч. 30 мл; 142,07 
ПАНТЕСТИН-ДАРНИЦЯ®, гель по 15г у тубі; 114,86 
ПАНТЕСТИН-ДАРНИЦЯ®, гель по 30г у тубі; 192,31 
ПАПАЗОЛ, табл. №10; 52,43 
ПАРАЦЕТАМОЛ-ДАРНИЦЯ табл. 200 мг №10; 20,06 
ПАРАЦЕТАМОЛ-ДАРНИЦЯ табл. 500 мг №10; 28,09 
РИМАНТАДИН, табл. 50мг №20; 115,56 
РІНАЗАЛ® Екстра спрей 0.05% 10 мл; 92,66 
РІНАЗАЛ® краплі 1 мг/мл, 10 мл; 56,18 
РІНАЗАЛ® спрей 0.05% 10 мл; 105,61 
РІНАЗАЛ® спрей 0.1% 10 мл; 105,07 
РІТОССЕ®ПЛЮЩ, сироп 7 мг/мл 100 мл флак; 171,33 
САНГІВА®, р-н д/ротов. порожн. фл. 100; 149,80 
САНГІВА®, спрей д/ротов. порожн. фл. 50; 139,10 
САНІДАР® р-н  0,2 мг/мл 200мл фл; 168,70 
САНІДАР® р-н  0,2 мг/мл400мл фл; 225,74 
САНІДАР®, р-н  0,2 мг/мл 100 мл; 150,77 
Септефрил Верде льод.по 3 мг лимон №20; 149,86 
Септефрил Верде льод.по 3мг мед-апел №20; 149,86 
Септефрил Верде розчин 100мл №1; 180,69 
Септефрил Верде спрей 1,5мг 30мл №1; 180,69 
СЕПТЕФРИЛ табл. 0,2мг №10; 36,12 
СЕПТЕФРИЛ табл. 0,2мг №10 в пачці; 41,15 
СЕПТЕФРИЛ табл. 0,2мг №20; 82,33 
СЕПТЕФРИЛ табл. 0,2мг №40; 164,66 
Септефрил-Верде спрей 3 мг 30мл №1; 180,69 
ТІВОМАКС А р-н ор 200 мг/мл 100 мл №1; 280,94 
ТІВОМАКС А р-н ор 200 мг/мл 200мл №1; 503,10 
ТРИМІСТИН, мазь туба 14 г; 166,89 
ТРОКСЕРУТИН, гель 20мг/мл туба 30 г; 112,35 
ФЛУКОНАЗОЛ, капс. 150мг №1; 43,97 
ФТАЛАЗОЛ, табл. 500мг №10; 64,20 
ЦЕЛІСТА ВІД БОЛЮ В ГОРЛІ, льод.№12 Mint; 76,51 
ЦЕЛІСТА, льодяники без цукру №12(Orange); 76,51 
ЦЕЛІСТА, роз/рот.пор 0,1мг/мл фл100мл №1; 181,22 
ЦЕЛІСТА, спрей д/рот.пор. 0,1мг/мл 50 мл; 181,22 
Целіста® Дуо, табл/розсм 0,25/0,03мг №10; 56,57 
Целіста® Дуо, табл/розсм.0,25/0,03мг №40; 203,67 
ЦИТРАМОН ЕКСТРА табл. №10; 69,79 
ЦИТРАМОН МАКСІ® табл. №10; 67,00 
ЦИТРАМОН МАКСІ® табл. №20; 127,63 
ЦИТРАМОН МАКСІ® табл. №50; 304,59 
ЦИТРАМОН-ДАРНИЦЯ табл. №10; 25,06 
ЦИТРАМОН-ДАРНИЦЯ табл. №6; 12,53 
ЦИТРОПАК®-ДАРНИЦЯ табл. №10; 43,15 
ЦИТРОПАК®-ДАРНИЦЯ табл. №6; 15,10 
